index,Angle,Porosity,Surface_Area,Permeability_X,,,0.119982935,22.465265
140,60,80.22766113,5847,5.9707503,,,,
141,70,80.19714355,5926,5.8086047,,,,
142,80,79.98504639,5988,5.752746,,,,
143,90,80.23834229,5639,6.290144,,,,
144,100,79.96673584,5654,6.1752725,,,,
145,110,79.7958374,5673,6.680763,,,,
146,120,80.22766113,5678,7.2050757,,,,
147,130,80.01403809,5701,7.357202,,,,
148,140,80.16815186,5743,7.997625,,,,
149,150,80.19104004,5870,10.528234,,,,
150,160,80.23529053,5945,10.685015,,,,
151,170,80.0201416,5972,10.229441,,,,
152,180,80.25817871,5680,10.991562,,,,
153,0,73.7991333,7143,4.72943,,,,
154,10,73.50158691,7355,4.630242,,,,
155,20,73.38562012,7372,4.4637938,,,,
156,30,73.07434082,7397,4.007381,,,,
157,40,73.03009033,7186,3.8289206,,,,
158,50,72.01690674,7179,3.6350358,,,,
159,60,72.86834717,6949,3.381137,,,,
160,70,73.70758057,6935,3.14584,,,,
161,80,73.9151001,7047,3.0143323,,,,
162,90,73.80218506,7158,2.7862234,,,,
163,100,73.5168457,7356,2.5787508,,,,
164,110,73.38104248,7366,2.7108371,,,,
165,120,73.04992676,7406,2.7531407,,,,
166,130,72.97973633,7197,2.9061475,,,,
167,140,71.9909668,7187,3.0424123,,,,
168,150,72.85919189,6971,3.3910055,,,,
169,160,73.71520996,6966,3.7845323,,,,
170,170,73.82507324,7064,4.2976804,,,,
171,180,73.78234863,7146,4.748624,,,,
172,0,63.96331787,8561,0.9477822,,,,
173,10,63.96942139,8404,0.96847326,,,,
174,20,63.75732422,8336,1.0124577,,,,
175,30,63.722229,8246,1.0363152,,,,
176,40,64.1494751,8423,1.4713153,,,,
177,50,64.27307129,8463,1.8720975,,,,
178,60,64.0838623,8577,2.0593324,,,,
179,70,63.91448975,8648,2.2148685,,,,
180,80,64.53094482,8590,2.3458781,,,,
181,90,63.95874023,8551,2.2483683,,,,
182,100,63.96484375,8427,1.9223902,,,,
183,110,63.70849609,8358,1.585688,,,,
184,120,63.66119385,8253,1.257,,,,
185,130,64.17388916,8428,1.0971514,,,,
186,140,64.20288086,8474,0.99458784,,,,
187,150,64.08081055,8585,1.0029558,,,,
188,160,63.8961792,8638,0.9213606,,,,
189,170,64.52331543,8586,0.88184303,,,,
190,180,63.93890381,8569,0.9945637,,,,
191,0,68.94683838,7961,2.2244232,,,,
192,10,68.73016357,8326,2.1022,,,,
193,20,68.74237061,8520,2.3532708,,,,
194,30,68.8293457,8411,2.4274507,,,,
195,40,68.55926514,8365,2.4964442,,,,
196,50,68.29681396,8327,2.194268,,,,
197,60,67.92144775,8281,1.8629391,,,,
198,70,68.11676025,8162,1.4018146,,,,
199,80,68.48449707,8120,1.3469672,,,,
200,90,68.92242432,7979,1.3448536,,,,
201,100,68.70574951,8324,1.1663934,,,,
202,110,68.75610352,8509,1.0510564,,,,
203,120,68.76678467,8413,1.098087,,,,
204,130,68.54553223,8387,1.1132627,,,,
205,140,68.2800293,8344,1.1186256,,,,
206,150,67.9977417,8272,1.2352741,,,,
207,160,68.11828613,8176,1.5468769,,,,
208,170,68.44329834,8145,1.7443888,,,,
209,180,68.92242432,7995,2.293671,,,,
210,0,67.11883545,8190,2.0343232,,,,
211,10,67.11730957,8572,1.9525445,,,,
212,20,67.22412109,8777,2.1210485,,,,
213,30,66.98303223,8833,2.163926,,,,
214,40,67.14630127,8692,2.0476716,,,,
215,50,66.97998047,8641,1.9231243,,,,
216,60,66.67022705,8496,1.6231813,,,,
217,70,67.15393066,8366,1.4943632,,,,
218,80,67.02880859,8344,1.5281473,,,,
219,90,67.08068848,8198,1.467935,,,,
220,100,67.13409424,8569,1.2706664,,,,
221,110,67.19207764,8779,1.2076432,,,,
222,120,66.9128418,8838,0.98104,,,,
223,130,67.10662842,8713,1.0111388,,,,
224,140,66.96166992,8642,1.1116455,,,,
225,150,66.67480469,8507,1.2563325,,,,
226,160,67.16918945,8374,1.5887169,,,,
227,170,67.09136963,8357,1.7719746,,,,
228,180,67.05932617,8200,2.0730922,,,,
229,0,58.17565918,8184,0.32651168,,,,
230,10,57.75909424,8250,0.4046812,,,,
231,20,57.55767822,8253,0.52966124,,,,
232,30,57.40203857,8350,0.59793997,,,,
233,40,56.60705566,8686,0.7435759,,,,
234,50,56.3583374,8848,0.9101043,,,,
235,60,57.07397461,8929,1.1202626,,,,
236,70,57.50427246,8833,1.0174873,,,,
237,80,57.97576904,8539,0.9348112,,,,
238,90,58.14208984,8195,0.6514405,,,,
239,100,57.78656006,8251,0.53723043,,,,
240,110,57.50427246,8268,0.4114237,,,,
241,120,57.38372803,8343,0.307059,,,,
242,130,56.59790039,8675,0.2782323,,,,
243,140,56.39343262,8842,0.17023592,,,,
244,150,57.15484619,8927,0.15763488,,,,
245,160,57.51037598,8825,0.1604429,,,,
246,170,57.97424316,8537,0.22251824,,,,
247,180,58.14361572,8192,0.29221007,,,,
248,0,63.85192871,6216,3.0604293,,,,
249,10,64.73846436,6104,2.5668821,,,,
250,20,63.83514404,6000,1.922531,,,,
251,30,64.81781006,5887,1.2510386,,,,
252,40,64.98413086,6086,0.8528838,,,,
253,50,65.07110596,6096,0.7787935,,,,
254,60,64.49890137,6327,0.77169126,,,,
255,70,64.0045166,6476,0.8478717,,,,
256,80,64.22576904,6350,0.91532844,,,,
257,90,63.85650635,6215,1.2261705,,,,
258,100,64.71099854,6108,1.6577334,,,,
259,110,63.7512207,5999,1.7835047,,,,
260,120,64.74761963,5902,3.33358,,,,
261,130,64.93377686,6113,4.5594606,,,,
262,140,64.95819092,6108,4.487749,,,,
263,150,64.51873779,6304,4.497712,,,,
264,160,63.84429932,6509,3.950593,,,,
265,170,64.12506104,6376,3.5466743,,,,
266,180,63.80157471,6207,3.1019945,,,,
267,0,63.63830566,5400,6.2302647,,,,
268,10,63.2232666,5382,4.675507,,,,
269,20,62.98217773,5244,2.2688553,,,,
270,30,62.75024414,5324,1.384448,,,,
271,40,62.62817383,5434,1.2942988,,,,
272,50,61.6394043,5562,1.287821,,,,
273,60,63.230896,5649,1.0585512,,,,
274,70,63.18969727,5577,0.664681,,,,
275,80,63.20343018,5525,0.6590147,,,,
276,90,63.59558105,5414,1.2723233,,,,
277,100,63.20648193,5382,1.3770312,,,,
278,110,63.05084229,5245,2.1676803,,,,
279,120,62.88146973,5306,3.3458478,,,,
280,130,62.70446777,5417,5.7022243,,,,
281,140,61.66992188,5551,6.0953765,,,,
282,150,63.28125,5640,8.413726,,,,
283,160,63.11950684,5549,8.148199,,,,
284,170,63.22479248,5519,7.1794405,,,,
285,180,63.56048584,5424,6.309838,,,,
286,0,67.88787842,7977,4.9074464,,,,
287,10,67.33398438,7892,4.380408,,,,
288,20,67.13562012,7745,3.6707592,,,,
289,30,67.77038574,7529,2.9837346,,,,
290,40,68.06640625,7250,1.7677828,,,,
291,50,67.26531982,7218,1.0710388,,,,
292,60,67.53082275,7601,0.72332764,,,,
293,70,67.18597412,7719,0.3361977,,,,
294,80,67.73529053,7851,0.30765012,,,,
295,90,67.8604126,7983,0.3329831,,,,
296,100,67.35076904,7880,0.38000372,,,,
297,110,67.16156006,7745,0.49093184,,,,
298,120,67.79327393,7530,0.5951425,,,,
299,130,68.1137085,7233,0.98968714,,,,
300,140,67.28668213,7208,1.5330503,,,,
301,150,67.52166748,7607,2.685256,,,,
302,160,67.14172363,7712,4.2944922,,,,
303,170,67.68188477,7839,4.8173747,,,,
304,180,67.78106689,8035,4.9060645,,,,
305,0,54.11529541,5664,2.9362705,,,,
306,10,55.41992188,5725,3.3173592,,,,
307,20,55.58624268,5706,3.3049536,,,,
308,30,55.37567139,5753,3.3101149,,,,
309,40,56.44073486,5421,3.0943801,,,,
310,50,55.78308105,5501,1.9638346,,,,
311,60,55.39550781,5433,1.3061213,,,,
312,70,55.34515381,5501,1.0508174,,,,
313,80,55.99975586,5666,0.89066154,,,,
314,90,54.12750244,5683,0.9407048,,,,
315,100,55.49926758,5737,0.7995613,,,,
316,110,55.64422607,5702,0.84622073,,,,
317,120,55.45501709,5746,0.8053206,,,,
318,130,56.48498535,5426,0.8648471,,,,
319,140,55.86242676,5507,1.4288682,,,,
320,150,55.40618896,5441,1.6926154,,,,
321,160,55.43823242,5500,1.935355,,,,
322,170,56.07299805,5641,2.1073616,,,,
323,180,54.16564941,5657,3.06282,,,,
324,0,67.93670654,4376,8.218972,,,,
325,10,67.78869629,4320,9.259423,,,,
326,20,68.05725098,4239,10.256388,,,,
327,30,67.40875244,4244,6.9029555,,,,
328,40,66.87011719,4302,5.6245084,,,,
329,50,67.64373779,4306,5.1997776,,,,
330,60,67.43621826,4422,5.006707,,,,
331,70,68.00689697,4478,4.5767403,,,,
332,80,67.96722412,4384,4.0115857,,,,
333,90,67.97027588,4358,4.1814623,,,,
334,100,67.83752441,4322,4.114455,,,,
335,110,68.03436279,4242,4.2501383,,,,
336,120,67.37060547,4248,4.109631,,,,
337,130,66.90979004,4327,5.2278876,,,,
338,140,67.61016846,4330,5.9929357,,,,
339,150,67.3828125,4427,6.4262877,,,,
340,160,67.99316406,4458,6.3116903,,,,
341,170,67.97180176,4380,7.0974927,,,,
342,180,67.918396,4366,8.0343895,,,,
343,0,72.9385376,4806,12.7229595,,,,
344,10,71.98486328,4846,8.7898655,,,,
345,20,71.91314697,4701,8.288414,,,,
346,30,72.00622559,4635,7.739143,,,,
347,40,72.17407227,4607,7.28037,,,,
348,50,72.15423584,4719,7.217634,,,,
349,60,73.02703857,4856,6.9721103,,,,
350,70,73.76098633,4932,6.771108,,,,
351,80,72.98278809,4921,5.5332923,,,,
352,90,72.91259766,4809,6.811153,,,,
353,100,71.97113037,4846,6.460095,,,,
354,110,71.89025879,4712,6.484113,,,,
355,120,72.00622559,4642,5.8285,,,,
356,130,72.10693359,4613,6.68375,,,,
357,140,72.07183838,4731,8.446045,,,,
358,150,72.9675293,4863,11.775901,,,,
359,160,73.69537354,4948,13.932796,,,,
360,170,72.84393311,4985,13.874241,,,,
361,180,72.8515625,4842,12.571899,,,,
362,0,70.36437988,6307,3.2582612,,,,
363,10,70.35980225,6641,3.951523,,,,
364,20,70.05310059,6946,5.023685,,,,
365,30,70.26519775,7096,6.202681,,,,
366,40,70.79620361,7074,6.4038534,,,,
367,50,70.62988281,7113,6.1578665,,,,
368,60,69.79064941,6939,5.708505,,,,
369,70,70.59173584,6687,4.6137247,,,,
370,80,70.66650391,6389,3.1615975,,,,
371,90,70.36590576,6314,1.792222,,,,
372,100,70.33538818,6646,1.3159907,,,,
373,110,70.04547119,6965,1.062779,,,,
374,120,70.28045654,7094,0.88946354,,,,
375,130,70.79315186,7068,0.83167964,,,,
376,140,70.57647705,7131,1.0330272,,,,
377,150,69.71282959,6949,1.5094239,,,,
378,160,70.57342529,6690,1.750571,,,,
379,170,70.65734863,6391,2.7258565,,,,
380,180,70.36132813,6329,3.3013654,,,,
381,0,68.21746826,6290,2.050543,,,,
382,10,69.04296875,6582,1.4300816,,,,
383,20,69.73724365,6994,0.65182215,,,,
384,30,69.28253174,7092,0.4887153,,,,
385,40,68.59283447,7313,0.37240085,,,,
386,50,69.02770996,7378,0.37436253,,,,
387,60,69.5892334,7016,1.5804672,,,,
388,70,69.59228516,6851,2.7642615,,,,
389,80,68.68438721,6567,3.1642854,,,,
390,90,68.25866699,6286,3.7932959,,,,
391,100,69.07501221,6586,5.0806556,,,,
392,110,69.72198486,6966,5.8412485,,,,
393,120,69.24285889,7077,6.53577,,,,
394,130,68.56842041,7264,6.8095737,,,,
395,140,69.02618408,7373,6.5001817,,,,
396,150,69.62890625,7002,5.9375544,,,,
397,160,69.63043213,6838,5.475805,,,,
398,170,68.70422363,6567,2.7407258,,,,
399,180,68.25256348,6294,2.1263795,,,,
400,0,64.9810791,8569,3.1009386,,,,
401,10,65.07415771,8474,2.7802875,,,,
402,20,64.66217041,8322,1.9557186,,,,
403,30,64.23492432,8193,1.6933478,,,,
404,40,64.16168213,7879,1.3801734,,,,
405,50,64.23187256,7804,1.0267825,,,,
406,60,64.22729492,8260,0.7825972,,,,
407,70,64.62097168,8516,0.579302,,,,
408,80,64.72930908,8744,0.33958185,,,,
409,90,64.99481201,8565,0.32942638,,,,
410,100,65.05432129,8501,0.35708728,,,,
411,110,64.67285156,8314,0.38781634,,,,
412,120,64.20898438,8193,0.6321713,,,,
413,130,64.12506104,7882,0.80207735,,,,
414,140,64.23034668,7804,1.3531796,,,,
415,150,64.3081665,8239,1.8327063,,,,
416,160,64.66522217,8490,2.1660707,,,,
417,170,64.76593018,8701,2.4555652,,,,
418,180,65.05889893,8556,3.1952941,,,,
419,0,58.37097168,5678,3.7200212,,,,
420,10,59.47418213,5523,2.8570397,,,,
421,20,58.32824707,5642,2.5382009,,,,
422,30,58.80889893,5282,2.3753684,,,,
423,40,59.95483398,5167,1.5501484,,,,
424,50,59.0637207,5288,1.5223902,,,,
425,60,58.21838379,5506,1.4744599,,,,
426,70,57.24334717,5690,1.1484694,,,,
427,80,58.0291748,5714,1.4541516,,,,
428,90,58.35266113,5661,2.014133,,,,
429,100,59.50164795,5509,2.1540322,,,,
430,110,58.34655762,5640,2.272113,,,,
431,120,58.76312256,5291,2.4820676,,,,
432,130,59.89532471,5182,3.1774397,,,,
433,140,59.0637207,5290,3.386429,,,,
434,150,58.16345215,5513,4.264802,,,,
435,160,57.17926025,5677,4.460661,,,,
436,170,58.06427002,5734,3.8950217,,,,
437,180,58.29315186,5662,3.6055331,,,,
438,0,77.76184082,6320,7.163071,,,,
439,10,77.78015137,6214,7.3474245,,,,
440,20,77.66265869,6221,6.690372,,,,
441,30,77.39562988,6133,5.9989505,,,,
442,40,77.10571289,6344,5.2980194,,,,
443,50,77.42156982,6392,5.027417,,,,
444,60,77.64129639,6509,4.5783772,,,,
445,70,78.125,6458,4.359328,,,,
446,80,77.96478271,6429,3.711135,,,,
447,90,77.76641846,6310,3.5808406,,,,
448,100,77.77557373,6215,3.8474648,,,,
449,110,77.69317627,6217,3.8580787,,,,
450,120,77.39868164,6133,4.136055,,,,
451,130,77.07672119,6349,4.8601804,,,,
452,140,77.40325928,6401,5.5342197,,,,
453,150,77.66876221,6488,6.015806,,,,
454,160,78.10821533,6472,6.6421766,,,,
455,170,78.01513672,6424,6.8073406,,,,
456,180,77.73590088,6300,7.0640693,,,,
457,0,72.46856689,7398,4.2573566,,,,
458,10,72.69287109,7512,4.0144,,,,
459,20,72.55706787,7482,4.44021,,,,
460,30,72.58148193,7558,3.9961102,,,,
461,40,71.75598145,7560,3.5542126,,,,
462,50,71.98028564,7459,2.9855375,,,,
463,60,72.02301025,7377,2.6070902,,,,
464,70,72.56622314,7292,2.3560503,,,,
465,80,72.21374512,7398,2.1015115,,,,
466,90,72.4609375,7401,1.8283163,,,,
467,100,72.63793945,7506,1.4714696,,,,
468,110,72.55554199,7480,1.547542,,,,
469,120,72.56011963,7567,1.5239441,,,,
470,130,71.71020508,7586,1.8656087,,,,
471,140,71.91925049,7463,2.271565,,,,
472,150,72.03216553,7367,2.833209,,,,
473,160,72.48535156,7255,3.4247453,,,,
474,170,72.21984863,7383,3.9440968,,,,
475,180,72.46704102,7410,4.339135,,,,
476,0,63.4765625,8617,0.7212546,,,,
477,10,63.98010254,8486,0.69359905,,,,
478,20,64.36157227,8232,0.8480884,,,,
479,30,64.04724121,8391,1.1923143,,,,
480,40,64.05029297,8434,1.2796149,,,,
481,50,64.21508789,8426,1.6209619,,,,
482,60,64.05487061,8614,1.7802075,,,,
483,70,63.69171143,8725,2.003132,,,,
484,80,63.75579834,8782,2.1819594,,,,
485,90,63.49029541,8645,2.3129368,,,,
486,100,63.93585205,8496,2.1145837,,,,
487,110,64.402771,8214,1.9677432,,,,
488,120,64.08538818,8385,1.6509104,,,,
489,130,64.112854,8420,1.3078245,,,,
490,140,64.25170898,8430,1.1362492,,,,
491,150,64.07623291,8633,0.9245857,,,,
492,160,63.69781494,8728,0.8133741,,,,
493,170,63.77868652,8778,0.73428077,,,,
494,180,63.56506348,8659,0.7586184,,,,
495,0,67.48046875,8325,2.2400734,,,,
496,10,67.93060303,8648,2.231502,,,,
497,20,68.68133545,8624,2.2926228,,,,
498,30,68.97735596,8649,2.625994,,,,
499,40,68.14727783,8747,2.3920827,,,,
500,50,67.75970459,8663,2.2414596,,,,
501,60,68.27697754,8425,2.0151918,,,,
502,70,68.12744141,8272,1.7781988,,,,
503,80,67.57507324,8420,1.5608159,,,,
504,90,67.47436523,8353,1.4366028,,,,
505,100,67.93518066,8648,1.2350051,,,,
506,110,68.67523193,8642,1.2317356,,,,
507,120,68.96209717,8647,1.0991096,,,,
508,130,68.11523438,8744,1.0525414,,,,
509,140,67.79022217,8663,1.090671,,,,
510,150,68.1930542,8424,1.2601435,,,,
511,160,68.12286377,8286,1.3033415,,,,
512,170,67.58575439,8406,1.8270345,,,,
513,180,67.47589111,8349,2.2334158,,,,
514,0,65.86608887,8675,1.6177641,,,,
515,10,66.25823975,8846,1.8332905,,,,
516,20,66.74804688,8997,1.8725001,,,,
517,30,66.74957275,8873,1.9175893,,,,
518,40,66.54815674,8918,1.8904302,,,,
519,50,66.36657715,8795,1.7065642,,,,
520,60,67.42095947,8398,1.5238135,,,,
521,70,66.94335938,8472,1.3031582,,,,
522,80,66.3192749,8488,1.1931998,,,,
523,90,65.83099365,8683,1.208258,,,,
524,100,66.24450684,8848,1.1326632,,,,
525,110,66.78009033,8993,1.068222,,,,
526,120,66.69464111,8883,0.9003643,,,,
527,130,66.50848389,8927,0.88852066,,,,
528,140,66.355896,8804,1.0339923,,,,
529,150,67.36755371,8383,1.2346641,,,,
530,160,66.93878174,8466,1.4106215,,,,
531,170,66.32385254,8494,1.4657547,,,,
532,180,65.86151123,8684,1.6814474,,,,
533,0,57.60040283,8224,0.28819472,,,,
534,10,57.62634277,8030,0.31070083,,,,
535,20,58.31756592,7832,0.62511116,,,,
536,30,58.3694458,8043,0.7830692,,,,
537,40,58.203125,8544,0.84471804,,,,
538,50,58.15582275,8617,0.9517614,,,,
539,60,57.82318115,8632,1.0488001,,,,
540,70,57.58514404,8819,1.050601,,,,
541,80,57.92236328,8544,1.0324892,,,,
542,90,57.6385498,8216,0.89171183,,,,
543,100,57.6751709,8022,0.6026282,,,,
544,110,58.3190918,7832,0.4659459,,,,
545,120,58.35266113,8032,0.40924874,,,,
546,130,58.18481445,8552,0.23498563,,,,
547,140,58.18481445,8610,0.19717127,,,,
548,150,57.84912109,8626,0.119982935,,,,
549,160,57.59887695,8813,0.14461793,,,,
550,170,57.90710449,8559,0.24270606,,,,
551,180,57.61108398,8214,0.28735426,,,,
552,0,66.456604,6288,3.9951513,,,,
553,10,67.04864502,6069,3.5061953,,,,
554,20,66.58477783,5984,2.7449236,,,,
555,30,66.3269043,6085,2.2683673,,,,
556,40,66.42303467,6159,1.6138804,,,,
557,50,66.83654785,6317,1.1704066,,,,
558,60,66.40167236,6548,1.0966359,,,,
559,70,65.95153809,6662,1.0894885,,,,
560,80,65.675354,6483,1.1884887,,,,
561,90,66.50390625,6290,1.6478932,,,,
562,100,67.01202393,6070,1.6585099,,,,
563,110,66.6229248,5981,1.9456148,,,,
564,120,66.36505127,6085,2.155282,,,,
565,130,66.40930176,6157,2.7355683,,,,
566,140,66.79534912,6331,3.2988288,,,,
567,150,66.456604,6560,3.735028,,,,
568,160,66.08276367,6639,3.8356285,,,,
569,170,65.60974121,6467,4.1239877,,,,
570,180,66.53594971,6279,4.128045,,,,
571,0,63.54827881,5395,5.3251557,,,,
572,10,63.64593506,5153,5.1119328,,,,
573,20,63.12866211,5177,4.5021176,,,,
574,30,62.34741211,5392,1.4716036,,,,
575,40,62.7746582,5451,1.3462886,,,,
576,50,62.30316162,5548,1.033796,,,,
577,60,62.47406006,5611,0.67408705,,,,
578,70,63.26751709,5783,0.83150417,,,,
579,80,63.81225586,5524,0.7469181,,,,
580,90,63.53759766,5405,0.7062209,,,,
581,100,63.65661621,5150,0.7623537,,,,
582,110,63.06915283,5170,0.8197737,,,,
583,120,62.40692139,5393,3.9401798,,,,
584,130,62.71362305,5448,4.9084396,,,,
585,140,62.24517822,5598,5.0553684,,,,
586,150,62.48016357,5627,5.3186536,,,,
587,160,63.29345703,5808,5.3077683,,,,
588,170,63.85803223,5538,5.279691,,,,
589,180,63.55438232,5400,5.3719497,,,,
590,0,65.22521973,8166,3.7529814,,,,
591,10,65.86761475,8022,3.6378567,,,,
592,20,65.50292969,7850,1.9723117,,,,
593,30,65.39306641,7814,1.658093,,,,
594,40,64.81323242,7487,1.4107102,,,,
595,50,64.7277832,7529,1.1402634,,,,
596,60,65.20385742,7846,0.71173704,,,,
597,70,64.81170654,8017,0.59220415,,,,
598,80,64.76745605,8127,0.55241233,,,,
599,90,65.20690918,8162,0.47815296,,,,
600,100,65.87524414,8005,0.46926504,,,,
601,110,65.53497314,7843,0.4814686,,,,
602,120,65.39001465,7812,0.7729374,,,,
603,130,64.77966309,7501,1.0682511,,,,
604,140,64.64385986,7543,1.1659828,,,,
605,150,65.14129639,7868,1.8010908,,,,
606,160,64.7857666,8014,2.4809554,,,,
607,170,64.75067139,8101,2.989927,,,,
608,180,65.29083252,8166,3.6563857,,,,
609,0,54.1809082,5543,2.324842,,,,
