image_name,target_angle,predicted_perm1,predicted_perm
tile_r1_c4.tiff,60,0.654464304,32.25178635
tile_r1_c4.tiff,70,0.62104845,31.11564732
tile_r1_c4.tiff,80,0.619239032,31.0541271
tile_r1_c4.tiff,90,0.652205944,32.1750021
tile_r1_c4.tiff,100,0.649393559,32.07938099
tile_r1_c4.tiff,110,0.625492513,31.26674545
tile_r1_c4.tiff,120,0.602811515,30.49559152
tile_r1_c4.tiff,130,0.54755944,28.61702096
tile_r1_c4.tiff,140,0.4859384,26.5219056
tile_r1_c4.tiff,150,0.468808383,25.93948501
tile_r1_c4.tiff,160,0.568504274,29.32914531
tile_r1_c4.tiff,170,0.679368079,33.09851468
tile_r1_c4.tiff,180,0.72189486,34.54442525
tile_r1_c5.tiff,0,0.723496854,34.59889305
tile_r1_c5.tiff,10,0.681730807,33.17884743
tile_r1_c5.tiff,20,0.625966609,31.28286469
tile_r1_c5.tiff,30,0.602153242,30.47321022
tile_r1_c5.tiff,40,0.624220669,31.22350276
tile_r1_c5.tiff,50,0.671495259,32.8308388
tile_r1_c5.tiff,60,0.670141041,32.7847954
tile_r1_c5.tiff,70,0.649171054,32.07181585
tile_r1_c5.tiff,80,0.657043517,32.33947957
tile_r1_c5.tiff,90,0.693437874,33.57688773
tile_r1_c5.tiff,100,0.6850214,33.29072762
tile_r1_c5.tiff,110,0.647407949,32.01187027
tile_r1_c5.tiff,120,0.610615671,30.7609328
tile_r1_c5.tiff,130,0.540949345,28.39227772
tile_r1_c5.tiff,140,0.475755781,26.17569655
tile_r1_c5.tiff,150,0.472336888,26.0594542
tile_r1_c5.tiff,160,0.609660447,30.72845519
tile_r1_c5.tiff,170,0.758479416,35.78830016
tile_r1_c5.tiff,180,0.806544602,37.42251647
tile_r1_c6.tiff,0,0.776489139,36.40063071
tile_r1_c6.tiff,10,0.666276395,32.65339744
tile_r1_c6.tiff,20,0.595676839,30.25301254
tile_r1_c6.tiff,30,0.560082793,29.04281497
tile_r1_c6.tiff,40,0.571436942,29.42885602
tile_r1_c6.tiff,50,0.609200656,30.71282232
tile_r1_c6.tiff,60,0.601614654,30.45489824
tile_r1_c6.tiff,70,0.57224983,29.45649421
tile_r1_c6.tiff,80,0.572525501,29.46586704
tile_r1_c6.tiff,90,0.606750131,30.62950444
tile_r1_c6.tiff,100,0.605909884,30.60093606
tile_r1_c6.tiff,110,0.584912121,29.88701212
tile_r1_c6.tiff,120,0.5715819,29.4337846
tile_r1_c6.tiff,130,0.526535094,27.90219319
tile_r1_c6.tiff,140,0.481803417,26.38131618
tile_r1_c6.tiff,150,0.494086653,26.7989462
tile_r1_c6.tiff,160,0.632929027,31.51958692
tile_r1_c6.tiff,170,0.773000658,36.28202236
tile_r1_c6.tiff,180,0.805650711,37.39212418
tile_r1_c7.tiff,0,0.667837322,32.70646894
tile_r1_c7.tiff,10,0.572262704,29.45693195
tile_r1_c7.tiff,20,0.509931862,27.33768332
tile_r1_c7.tiff,30,0.48143822,26.36889946
tile_r1_c7.tiff,40,0.498811275,26.95958334
tile_r1_c7.tiff,50,0.538660944,28.31447208
tile_r1_c7.tiff,60,0.540780902,28.38655066
tile_r1_c7.tiff,70,0.526357949,27.89617026
tile_r1_c7.tiff,80,0.533018887,28.12264216
tile_r1_c7.tiff,90,0.562902153,29.13867319
tile_r1_c7.tiff,100,0.55802983,28.97301424
tile_r1_c7.tiff,110,0.536103368,28.22751451
tile_r1_c7.tiff,120,0.523284078,27.79165864
tile_r1_c7.tiff,130,0.4840478,26.45762521
tile_r1_c7.tiff,140,0.444937676,25.12788099
tile_r1_c7.tiff,150,0.452378958,25.38088459
tile_r1_c7.tiff,160,0.562920332,29.13929129
tile_r1_c7.tiff,170,0.673348069,32.89383435
tile_r1_c7.tiff,180,0.696377099,33.67682135
tile_r1_c8.tiff,0,0.491522908,26.71177888
tile_r1_c8.tiff,10,0.427556306,24.53691441
tile_r1_c8.tiff,20,0.385662168,23.11251372
tile_r1_c8.tiff,30,0.370640367,22.60177249
tile_r1_c8.tiff,40,0.391177297,23.30002809
tile_r1_c8.tiff,50,0.42436114,24.42827874
tile_r1_c8.tiff,60,0.432308495,24.69848883
tile_r1_c8.tiff,70,0.429707438,24.61005288
tile_r1_c8.tiff,80,0.439621061,24.94711608
tile_r1_c8.tiff,90,0.463365257,25.75441873
tile_r1_c8.tiff,100,0.463046163,25.74356955
tile_r1_c8.tiff,110,0.45456472,25.45520049
tile_r1_c8.tiff,120,0.454238415,25.4441061
tile_r1_c8.tiff,130,0.433287293,24.73176795
tile_r1_c8.tiff,140,0.405483663,23.78644454
tile_r1_c8.tiff,150,0.400835723,23.62841457
tile_r1_c8.tiff,160,0.455318302,25.48082227
tile_r1_c8.tiff,170,0.50918901,27.31242633
tile_r1_c8.tiff,180,0.515650272,27.53210926
tile_r1_c9.tiff,0,0.573655486,29.50428653
tile_r1_c9.tiff,10,0.486929685,26.55560929
tile_r1_c9.tiff,20,0.441454321,25.00944692
tile_r1_c9.tiff,30,0.421251148,24.32253903
tile_r1_c9.tiff,40,0.43642199,24.83834767
tile_r1_c9.tiff,50,0.467755765,25.903696
tile_r1_c9.tiff,60,0.468694896,25.93562645
tile_r1_c9.tiff,70,0.460811704,25.66759795
tile_r1_c9.tiff,80,0.468298763,25.92215794
tile_r1_c9.tiff,90,0.491947711,26.72622216
tile_r1_c9.tiff,100,0.484355032,26.4680711
tile_r1_c9.tiff,110,0.463566035,25.76124519
tile_r1_c9.tiff,120,0.44909355,25.26918072
tile_r1_c9.tiff,130,0.413776577,24.0684036
tile_r1_c9.tiff,140,0.380077153,22.92262322
tile_r1_c9.tiff,150,0.383139402,23.02673966
tile_r1_c9.tiff,160,0.468839675,25.94054896
tile_r1_c9.tiff,170,0.557609558,28.95872498
tile_r1_c9.tiff,180,0.581311285,29.76458371
tile_r1_c10.tiff,0,0.722678542,34.57107043
tile_r1_c10.tiff,10,0.638872027,31.72164893
tile_r1_c10.tiff,20,0.566138148,29.24869704
tile_r1_c10.tiff,30,0.532977045,28.12121952
tile_r1_c10.tiff,40,0.554933369,28.86773455
tile_r1_c10.tiff,50,0.606060863,30.60606933
tile_r1_c10.tiff,60,0.615599036,30.93036723
tile_r1_c10.tiff,70,0.610387325,30.75316906
tile_r1_c10.tiff,80,0.626246393,31.29237735
tile_r1_c10.tiff,90,0.661854148,32.50304103
tile_r1_c10.tiff,100,0.653065383,32.20422304
tile_r1_c10.tiff,110,0.617341638,30.98961568
tile_r1_c10.tiff,120,0.586934984,29.95578945
tile_r1_c10.tiff,130,0.526020408,27.88469386
tile_r1_c10.tiff,140,0.470281005,25.98955417
tile_r1_c10.tiff,150,0.47548762,26.16657907
tile_r1_c10.tiff,160,0.6109851,30.77349341
tile_r1_c10.tiff,170,0.751382291,35.5469979
tile_r1_c10.tiff,180,0.782856524,36.61712182
tile_r2_c1.tiff,0,0.788763821,36.81796992
tile_r2_c1.tiff,10,0.760732532,35.86490607
tile_r2_c1.tiff,20,0.680659294,33.142416
tile_r2_c1.tiff,30,0.651244581,32.14231575
tile_r2_c1.tiff,40,0.692406595,33.54182422
tile_r2_c1.tiff,50,0.770667017,36.20267856
tile_r2_c1.tiff,60,0.790083706,36.86284602
tile_r2_c1.tiff,70,0.775162458,36.35552359
tile_r2_c1.tiff,80,0.789902747,36.85669339
tile_r2_c1.tiff,90,0.837162554,38.46352684
tile_r2_c1.tiff,100,0.835572898,38.40947855
tile_r2_c1.tiff,110,0.800445139,37.21513474
tile_r2_c1.tiff,120,0.768566489,36.13126063
tile_r2_c1.tiff,130,0.6936571,33.58434141
tile_r2_c1.tiff,140,0.613135636,30.84661162
tile_r2_c1.tiff,150,0.599811614,30.39359486
tile_r2_c1.tiff,160,0.745403945,35.34373415
tile_r2_c1.tiff,170,0.898277342,40.54142964
tile_r2_c1.tiff,180,0.930663168,41.64254773
tile_r2_c2.tiff,0,0.426552683,24.50279123
tile_r2_c2.tiff,10,0.406464964,23.81980878
tile_r2_c2.tiff,20,0.400911689,23.63099742
tile_r2_c2.tiff,30,0.406687856,23.82738709
tile_r2_c2.tiff,40,0.427384347,24.53106779
tile_r2_c2.tiff,50,0.448235244,25.23999828
tile_r2_c2.tiff,60,0.437959999,24.89063996
tile_r2_c2.tiff,70,0.412968069,24.04091436
